Mandala,Sukta,Verse,Meter,Surface_Word_Index,Surface_DEV,Surface_IAST,Segmented_DEV,Segmented_IAST,Left_Underlying_Word_Index,Left_Underlying_DEV,Left_Underlying_IAST,Right_Underlying_Word_Index,Right_Underlying_DEV,Right_Underlying_IAST,Category,Subtype,Confidence,Normalization_Status,Detected,Notes
10,125,1,"Tristubh",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ","रुद्रेभिर वसुभिश चरामि अहम आदित्यैर उत विश्वदेवैः","rudrebhir vasubhiś carāmi aham ādityair uta viśvadevaiḥ",1,"रुद्रेभिर","rudrebhir",2,"वसुभिश","vasubhiś","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,1,"Tristubh",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ","रुद्रेभिर वसुभिश चरामि अहम आदित्यैर उत विश्वदेवैः","rudrebhir vasubhiś carāmi aham ādityair uta viśvadevaiḥ",2,"वसुभिश","vasubhiś",3,"चरामि","carāmi","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,1,"Tristubh",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ","रुद्रेभिर वसुभिश चरामि अहम आदित्यैर उत विश्वदेवैः","rudrebhir vasubhiś carāmi aham ādityair uta viśvadevaiḥ",3,"चरामि","carāmi",4,"अहम","aham","semivowel sandhi","external glide formation","medium","generated",true,"A final high vowel before another vowel may surface as y, v, r, or l."
10,125,1,"Tristubh",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ","रुद्रेभिर वसुभिश चरामि अहम आदित्यैर उत विश्वदेवैः","rudrebhir vasubhiś carāmi aham ādityair uta viśvadevaiḥ",4,"अहम","aham",5,"आदित्यैर","ādityair","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,1,"Tristubh",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ","रुद्रेभिर वसुभिश चरामि अहम आदित्यैर उत विश्वदेवैः","rudrebhir vasubhiś carāmi aham ādityair uta viśvadevaiḥ",5,"आदित्यैर","ādityair",6,"उत","uta","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,1,"Tristubh",1,"रुद्रेभिर्वसुभिश्चरामि","rudrebhirvasubhiścarāmiahamādityairutaviśvadevaiḥ","रुद्रेभिर वसुभिश चरामि अहम आदित्यैर उत विश्वदेवैः","rudrebhir vasubhiś carāmi aham ādityair uta viśvadevaiḥ",6,"उत","uta",7,"विश्वदेवैः","viśvadevaiḥ","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,2,"Tristubh-Jagati Mixed",1,"सोममाहनसं","somamāhanasaṃbibharmi","सोमम आहनसं बिभर्मि","somam āhanasaṃ bibharmi",1,"सोमम","somam",2,"आहनसं","āhanasaṃ","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,2,"Tristubh-Jagati Mixed",1,"सोममाहनसं","somamāhanasaṃbibharmi","सोमम आहनसं बिभर्मि","somam āhanasaṃ bibharmi",2,"आहनसं","āhanasaṃ",3,"बिभर्मि","bibharmi","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,3,"Nicrd Tristubh",3,"वसूनाम्","vasūnāmcikitūṣīprathamā","वसूनाम चिकितूषी प्रथमा","vasūnām cikitūṣī prathamā",3,"वसूनाम","vasūnām",4,"चिकितूषी","cikitūṣī","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,3,"Nicrd Tristubh",3,"वसूनाम्","vasūnāmcikitūṣīprathamā","वसूनाम चिकितूषी प्रथमा","vasūnām cikitūṣī prathamā",4,"चिकितूषी","cikitūṣī",5,"प्रथमा","prathamā","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,3,"Nicrd Tristubh",5,"प्रथमायज्ञियानाम्","tāṃmādevā","तां मा देवा","tāṃ mā devā",7,"तां","tāṃ",8,"मा","mā","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,3,"Nicrd Tristubh",5,"प्रथमायज्ञियानाम्","tāṃmādevā","तां मा देवा","tāṃ mā devā",8,"मा","mā",9,"देवा","devā","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,3,"Nicrd Tristubh",9,"व्यदधुः","bhūryāveśayantīm","भूर्य आवेशयन्तीम","bhūry āveśayantīm",13,"भूर्य","bhūry",14,"आवेशयन्तीम","āveśayantīm","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,4,"Nicrd Tristubh",1,"सोऽन्नमत्ति","so’nnamattiyo","सो ऽन्नम अत्ति यो","so ’nnam atti yo",1,"सो","so",2,"ऽन्नम","’nnam","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,4,"Nicrd Tristubh",1,"सोऽन्नमत्ति","so’nnamattiyo","सो ऽन्नम अत्ति यो","so ’nnam atti yo",2,"ऽन्नम","’nnam",3,"अत्ति","atti","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,4,"Nicrd Tristubh",1,"सोऽन्नमत्ति","so’nnamattiyo","सो ऽन्नम अत्ति यो","so ’nnam atti yo",3,"अत्ति","atti",4,"यो","yo","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,4,"Nicrd Tristubh",3,"विपश्यति","yaḥprāṇiti","यः प्राणिति","yaḥ prāṇiti",6,"यः","yaḥ",7,"प्राणिति","prāṇiti","visarga sandhi","external visarga","high","generated",true,"Left underlying form ends in visarga before the next segment."
10,125,4,"Nicrd Tristubh",9,"अमन्तवो","māṃta","मां त","māṃ ta",13,"मां","māṃ",14,"त","ta","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,5,"Tristubh",0,"अहमेव","ahamevasvayamidaṃvadāmi","अहम एव स्वयम इदं वदामि","aham eva svayam idaṃ vadāmi",0,"अहम","aham",1,"एव","eva","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,5,"Tristubh",0,"अहमेव","ahamevasvayamidaṃvadāmi","अहम एव स्वयम इदं वदामि","aham eva svayam idaṃ vadāmi",1,"एव","eva",2,"स्वयम","svayam","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,5,"Tristubh",0,"अहमेव","ahamevasvayamidaṃvadāmi","अहम एव स्वयम इदं वदामि","aham eva svayam idaṃ vadāmi",2,"स्वयम","svayam",3,"इदं","idaṃ","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,5,"Tristubh",0,"अहमेव","ahamevasvayamidaṃvadāmi","अहम एव स्वयम इदं वदामि","aham eva svayam idaṃ vadāmi",3,"इदं","idaṃ",4,"वदामि","vadāmi","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,5,"Tristubh",7,"कामये","taṃtam","तं तम","taṃ tam",11,"तं","taṃ",12,"तम","tam","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,6,"Tristubh",2,"धनुरातनोमि","dhanurātanomibrahmadviṣe","धनुर आ तनोमि ब्रह्मद्विषे","dhanur ā tanomi brahmadviṣe",2,"धनुर","dhanur",3,"आ","ā","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,6,"Tristubh",2,"धनुरातनोमि","dhanurātanomibrahmadviṣe","धनुर आ तनोमि ब्रह्मद्विषे","dhanur ā tanomi brahmadviṣe",3,"आ","ā",4,"तनोमि","tanomi","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,6,"Tristubh",2,"धनुरातनोमि","dhanurātanomibrahmadviṣe","धनुर आ तनोमि ब्रह्मद्विषे","dhanur ā tanomi brahmadviṣe",4,"तनोमि","tanomi",5,"ब्रह्मद्विषे","brahmadviṣe","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,6,"Tristubh",5,"हन्तवा","uahaṃ","उ अहं","u ahaṃ",8,"उ","u",9,"अहं","ahaṃ","semivowel sandhi","external glide formation","medium","generated",true,"A final high vowel before another vowel may surface as y, v, r, or l."
10,125,7,"Nicrd Tristubh",2,"पितरमस्य","pitaramasyamūrdhanmama","पितरम अस्य मूर्धन मम","pitaram asya mūrdhan mama",2,"पितरम","pitaram",3,"अस्य","asya","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,7,"Nicrd Tristubh",2,"पितरमस्य","pitaramasyamūrdhanmama","पितरम अस्य मूर्धन मम","pitaram asya mūrdhan mama",3,"अस्य","asya",4,"मूर्धन","mūrdhan","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
10,125,7,"Nicrd Tristubh",2,"पितरमस्य","pitaramasyamūrdhanmama","पितरम अस्य मूर्धन मम","pitaram asya mūrdhan mama",4,"मूर्धन","mūrdhan",5,"मम","mama","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
10,125,8,"Tristubh",0,"अहमेव","ahameva","अहम एव","aham eva",0,"अहम","aham",1,"एव","eva","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
